(0.0, ((4544.0, 2350.0), (4632.0, 2543.0), (4759.0, 2388.0)))
(0.0, ((4176.0, 2618.0), (4474.0, 2719.0), (4299.0, 2529.0)))
(0.0, ((4176.0, 2618.0), (4259.0, 2906.0), (4474.0, 2719.0)))
(0.0, ((4632.0, 2543.0), (4421.0, 2439.0), (4474.0, 2719.0)))
(0.0, ((4105.0, 3317.0), (3913.0, 3432.0), (4142.0, 3514.0)))
(0.0, ((3930.0, 2797.0), (4259.0, 2906.0), (4053.0, 2708.0)))
(0.0, ((4894.0, 7268.0), (5026.0, 7579.0), (4818.0, 7401.0)))
(0.0, ((5034.0, 2772.0), (4910.0, 3167.0), (5064.0, 3097.0)))
(0.0, ((4910.0, 3167.0), (4748.0, 2780.0), (4581.0, 3027.0)))
(0.0, ((4910.0, 3167.0), (5034.0, 2772.0), (4748.0, 2780.0)))
(0.0, ((4034.0, 3086.0), (3807.0, 2887.0), (3761.0, 3128.0)))
(0.0, ((4935.0, 8101.0), (5202.0, 7941.0), (5160.0, 8116.0)))
(0.0, ((4259.0, 2906.0), (4322.0, 3185.0), (4581.0, 3027.0)))
(0.0, ((4862.0, 8695.0), (4994.0, 8817.0), (5036.0, 8642.0)))
(0.0, ((4748.0, 2780.0), (4474.0, 2719.0), (4581.0, 3027.0)))
(0.0, ((4474.0, 2719.0), (4259.0, 2906.0), (4581.0, 3027.0)))
(0.0, ((3930.0, 2797.0), (4034.0, 3086.0), (4259.0, 2906.0)))
(0.0, ((5285.0, 7590.0), (5225.0, 7442.0), (5026.0, 7579.0)))
(0.0, ((3567.0, 2767.0), (3736.0, 2552.0), (3450.0, 2557.0)))
(0.0, ((5119.0, 8291.0), (4772.0, 8397.0), (4935.0, 8101.0)))
(0.0, ((6513.0, 8050.0), (6612.0, 7692.0), (6387.0, 7913.0)))
(0.0, ((4603.0, 3306.0), (4322.0, 3185.0), (4449.0, 3375.0)))
(0.0, ((4322.0, 3185.0), (4603.0, 3306.0), (4581.0, 3027.0)))
(0.0, ((4322.0, 3185.0), (4034.0, 3086.0), (4105.0, 3317.0)))
(0.0, ((4772.0, 8397.0), (4935.0, 8101.0), (4727.0, 8249.0)))
(0.0, ((7196.0, 7611.0), (7386.0, 7362.0), (7092.0, 7314.0)))
(0.0, ((4474.0, 2719.0), (4421.0, 2439.0), (4299.0, 2529.0)))
(0.0, ((4862.0, 8695.0), (5036.0, 8642.0), (4817.0, 8546.0)))
(0.0, ((4817.0, 8546.0), (5077.0, 8467.0), (5036.0, 8642.0)))
(0.0, ((6893.0, 7886.0), (7254.0, 7887.0), (7196.0, 7611.0)))
